Ss/list order:,words,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,57a,58a,59a,60a,61a,62a,63a,64a,65a,12b,13b,14b,15b,16b,17b,18b,19b,20b,21b,44b,46b,47b,48b,50b,52b,53b,54b,55b,56b,22c,23c,25c,26c,27c,28c,29c,30c,31c,32c,66c,67c,69c,70c,71c,72c,73c,74c,75c,76c,33d,34d,35d,36d,37d,38d,39d,40d,41d,42d,43d,77d,79d,81d,82d,85d,86d,87d,88d,89d
9,fence,6,0,3,5,0,0,6,0,7,3,4,0,0,0,8,6,14,15,9,0,0,4,7,0,0,5,12,5,0,10,0,7,10,7,8,0,0,9,4,9,0,1,6,10,5,0,9,0,0,0,0,6,0,9,0,5,0,9,0,0,0,6,10,0,7,0,0,0,8,8,0,11,0,0,10,7,4,0,0,9
10,vines,3,0,4,4,11,5,0,4,6,0,5,0,0,5,4,5,13,2,0,0,2,0,2,8,0,8,5,1,8,5,12,9,0,8,10,0,0,0,0,4,0,2,0,0,0,4,0,0,3,5,4,0,6,0,7,0,0,0,0,4,0,5,11,0,0,0,0,3,0,0,0,8,6,0,11,4,6,0,0,5
11,woods,10,0,0,3,10,0,0,0,1,1,8,5,0,0,0,0,0,1,6,0,0,0,0,0,0,0,7,2,11,0,13,0,2,0,5,9,0,10,5,0,0,9,11,0,0,0,12,0,0,4,9,0,11,2,6,6,1,8,4,5,0,0,12,1,1,0,0,4,9,0,0,9,0,4,14,0,7,0,0,0
12,ivy,11,2,0,0,6,3,1,0,2,2,6,3,0,0,0,4,1,3,0,0,0,0,5,0,0,4,4,4,7,7,11,2,4,13,9,1,7,12,9,5,1,3,12,1,0,0,1,0,4,0,5,4,0,1,8,0,3,7,7,3,1,1,6,3,2,0,1,0,2,9,1,7,0,0,12,0,3,3,0,0
13,roses,0,1,6,0,7,4,7,2,4,0,7,0,0,6,0,3,2,4,0,0,9,3,6,7,0,2,2,3,2,6,9,3,3,0,11,2,0,11,6,6,2,0,2,2,6,0,2,1,5,0,3,3,9,0,0,0,2,1,0,0,2,2,5,2,3,1,3,11,0,0,2,0,0,3,13,3,5,4,9,6
14,cozy,2,3,1,0,8,1,2,3,3,4,9,1,0,8,9,2,3,5,1,6,4,1,4,6,0,3,3,6,3,9,7,11,11,1,14,8,0,1,0,8,3,0,1,3,4,1,4,2,1,3,1,1,8,3,4,7,8,2,2,1,0,3,1,0,9,2,0,2,0,5,0,2,2,2,15,5,9,2,0,2
15,hut ,1,4,2,1,9,2,3,1,5,0,10,2,1,4,0,1,4,6,2,1,1,2,10,10,7,1,1,7,0,4,2,1,6,2,4,3,5,2,1,7,4,10,3,4,1,2,3,3,2,1,2,2,10,4,5,4,4,3,1,2,3,4,2,4,4,3,4,1,1,6,3,1,3,1,2,6,1,1,8,1
othr,,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
CL,whiskey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
1,drink,4,8,6,7,3,10,10,9,9,9,1,6,2,8,5,9,8,10,8,4,7,1,1,1,1,7,12,6,4,5,,,,,,,,,,,9,5,3,4,4,7,8,4,4,7,10,7,1,10,1,0,10,6,5,1,7,12,7,8,8,6,8,4,6,9,1,6,3,7,2,1,5,6,1,8
2,drunk,5,9,7,8,4,11,11,10,10,10,2,7,3,9,6,10,9,11,9,5,8,2,2,2,2,8,7,7,6,6,,,,,,,,,,,10,6,4,5,0,8,9,5,5,8,11,8,2,11,2,0,11,7,6,2,8,13,8,9,9,7,9,5,7,10,2,7,4,8,3,2,6,7,2,9
3,beer,0,6,5,3,2,0,7,12,6,7,11,0,10,11,2,11,10,9,0,6,9,8,10,8,9,9,6,10,10,0,,,,,,,,,,,8,12,12,7,5,0,7,6,11,1,8,4,3,6,4,0,5,5,7,3,6,10,9,4,6,9,4,6,8,7,6,12,2,10,4,7,4,12,3,11
